key_resp.corr,key_resp.rt,,,Sequence RT,Random RT
1,0.9256347,,,0.9256347,0.2774208
1,0.9604403,,,0.9604403,0.6425923
1,0.4091284,,,0.4091284,0.7759178
1,0.3558494,,,0.3558494,0.782556
1,0.3940521,,,0.3940521,0.6992718
1,0.6506257,,,0.6506257,0.7533709
1,0.8627565,,,0.8627565,1.0882874
1,0.6266067,,,0.6266067,0.6400509
1,0.3354221,,,0.3354221,0.9137487
1,0.7465116,,,0.7465116,0.732926
1,0.3483198,,,0.3483198,0.6294982
1,0.9491862,,,0.9491862,0.7235443
1,0.3641421,,,0.3641421,0.775114
1,0.7367447,,,0.7367447,1.0542032
1,0.5790508,,,0.5790508,0.7462223
1,0.6936306,,,0.6936306,0.6028974
1,0.3707373,,,0.3707373,0.8162061
1,0.6822667,,,0.6822667,0.5785096
1,0.3431527,,,0.3431527,0.6498033
1,0.6887607,,,0.6887607,0.7001822
1,0.4253139,,,0.4253139,0.6536217
1,0.4803986,,,0.4803986,0.6610142
1,0.3881893,,,0.3881893,0.6255827
1,0.3890189,,,0.3890189,0.7501832
1,0.3331039,,,0.3331039,0.7691755
1,0.7784075,,,0.7784075,0.6971246
1,0.4100981,,,0.4100981,0.8192506
1,0.6383148,,,0.6383148,0.700477
1,0.9467182,,,0.9467182,0.9183665
1,0.7321952,,,0.7321952,0.4442018
1,0.7182969,,,0.7182969,0.4596128
1,0.5018349,,,0.5018349,0.4566071
1,0.3279026,,,0.3279026,0.5040732
1,0.9705991,,,0.9705991,0.8448936
1,0.5339907,,,0.5339907,0.7687893
1,0.542941,,,0.542941,0.7507227
1,0.3306448,,,0.3306448,0.9374658
1,0.5299855,,,0.5299855,0.5942737
1,0.3426535,,,0.3426535,0.6696803
1,0.3192512,,,0.3192512,0.6792815
1,0.3278325,,,0.3278325,0.7497353
1,0.8896127,,,0.8896127,0.973081
1,0.304051,,,0.304051,0.752684
1,0.3172587,,,0.3172587,1.3111693
1,0.282834,,,0.282834,1.2782246
1,0.3920873,,,0.3920873,0.9731777
1,0.2814243,,,0.2814243,0.7205732
1,0.5603863,,,0.5603863,0.8470328
