trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0908254,,0.0068714,10,0.0908254,0.0908254,0.0613566,2.1195208,[0.10807291666666667],[0.17447916666666666],[1],[0],[0],2.0567304,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
1,0,1,0,2.1839988,,2.1288102,10,2.1839988,2.1839988,0.0386796,3.9034282,[-0.3463541666666667],[0.07942708333333333],[1],[0],[0],1.7363962,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
2,0,2,0,3.9597659,,3.9063957,10,3.9597659,3.9597659,0.0395365,5.6695802,[0.22786458333333334],[-0.3567708333333333],[1],[0],[0],1.7237482,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
3,0,3,0,5.7056788,,5.6722777,5,5.7056788,5.7056788,0.0229359,7.586315,[0.10416666666666667],[-0.2955729166666667],[1],[0],[0],1.8912013,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
4,0,4,0,7.6547296,,7.590614,10,7.6547296,7.6547296,0.0473909,8.9860785,[-0.48828125],[-0.3229166666666667],[1],[0],[0],1.3484722,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
5,0,5,0,9.0441597,,8.9893151,10,9.0441597,9.0441597,0.0425673,10.4693654,[-0.43359375],[-0.3046875],[1],[0],[0],1.4374625,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
6,0,6,0,10.5585104,,10.4721395,10,10.5585104,10.5585104,0.0707686,11.853063,[-0.08984375],[-0.10416666666666667],[1],[0],[0],1.3102364,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
7,0,7,0,11.9738289,,11.8556574,10,11.9738289,11.9738289,0.1000057,14.0521688,[0.4153645833333333],[0.22395833333333334],[1],[0],[0],2.0966242,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
8,0,8,0,14.1099853,,14.0548568,10,14.1099853,14.1099853,0.0402903,17.1190473,[-0.4661458333333333],[-0.4375],[1],[0],[0],3.0239508,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
9,0,9,0,17.1743163,,17.1217573,10,17.1743163,17.1743163,0.0379893,19.8519588,[-0.11588541666666667],[-0.2903645833333333],[1],[0],[0],2.6922658,243412,1,2024-10-10_11h22.51.781,Visual Search Experiment,2024.1.5,None,2024-10-10 11h23.01.959625 +0530
