trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,,,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0367189,,0.0067689,5,0.0367189,0.0367189,0.028042,1.8159446,[0.3453703703703704],[0.23425925925925925],[1],[0],[0],,1.7872295,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
1,0,1,0,1.8433735,,1.8208548,5,1.8433735,1.8433735,0.0162662,3.3954091,[0.000925925925925926],[0.42314814814814816],[1],[0],[0],,1.5585206,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
2,0,2,0,3.4463568,,3.3982606,10,3.4463568,3.4463568,0.0343695,5.3130039,[-0.041666666666666664],[0.362962962962963],[1],[0],[0],,1.8806004,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
3,0,3,0,5.3627687,,5.3158081,10,5.3627687,5.3627687,0.0323008,7.3460729,[-0.4101851851851852],[0.10555555555555556],[1],[0],[0],,1.9981074,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
4,0,4,0,7.3975796,,7.349022,10,7.3975796,7.3975796,0.0346163,10.1954918,[0.3416666666666667],[0.42592592592592593],[1],[0],[0],,2.8122822,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
5,0,5,0,10.2457102,,10.1983372,10,10.2457102,10.2457102,0.0365333,11.9795585,[-0.2064814814814815],[0.3314814814814815],[1],[0],[0],,1.7447837,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
6,0,6,0,12.0092511,,11.9835189,5,12.0092511,12.0092511,0.0198331,14.329127,[0.024074074074074074],[-0.42962962962962964],[1],[0],[0],,2.3262455,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
7,0,7,0,14.3821253,,14.3321054,10,14.3821253,14.3821253,0.0391887,16.8594717,[-0.2740740740740741],[-0.4027777777777778],[1],[0],[0],,2.4883192,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
8,0,8,0,16.8838019,,16.8628618,5,16.8838019,16.8838019,0.0146446,19.6626279,[-0.2796296296296296],[-0.36018518518518516],[1],[0],[0],,2.7853523,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
9,0,9,0,19.7089196,,19.6653949,10,19.7089196,19.7089196,0.033424,21.3293356,[-0.08333333333333333],[0.3],[1],[0],[0],,1.6306449,,1,2024-10-08_13h04.47.628,VisualSearchExperiment,2024.1.5,None,2024-10-08 13h04.56.951059 +0530
