thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],1.884628609,,0,0,0,0.062484052,,5,0.040888388,0.062484052,0.062484052,0.040584866,1.925999045,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],1.884628609,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
1,0,1,[-0.13],[-0.21833333333333332],[1],[0],[0],1.261025697,,0,1,0,1.954403958,,5,1.942372477,1.954403958,1.954403958,0.016166049,3.203893055,[-0.13],[-0.21833333333333332],[1],[0],[0],1.261025697,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
2,0,2,[0.44166666666666665],[-0.39],[1],[0],[0],2.167170515,,0,2,0,3.247719051,,10,3.233012301,3.247719051,3.247719051,0.028924168,5.400755464,[0.44166666666666665],[-0.39],[1],[0],[0],2.167170515,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
3,0,3,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],4.072226131,,0,3,0,5.427682736,,5,5.417674136,5.427682736,5.427682736,0.016745192,9.490345136,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],4.072226131,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
4,0,4,[-0.3933333333333333],[0.025],[1],[0],[0],1.722808649,,0,4,0,9.532864054,,10,9.51772365,9.532864054,9.532864054,0.027246924,11.24093202,[-0.3933333333333333],[0.025],[1],[0],[0],1.722808649,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
5,0,5,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],1.539755604,,0,5,0,11.26645765,,5,11.25583989,11.26645765,11.26645765,0.014749935,12.79602368,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],1.539755604,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
6,0,6,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],3.289866275,,0,6,0,12.83903728,,10,12.82412206,12.83903728,12.83903728,0.027969293,16.11439545,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],3.289866275,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
7,0,7,[0.13333333333333333],[-0.13],[1],[0],[0],1.874093417,,0,7,0,16.1404116,,5,16.13003099,16.1404116,16.1404116,0.015478265,18.00456866,[0.13333333333333333],[-0.13],[1],[0],[0],1.874093417,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
8,0,8,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],2.297437823,,0,8,0,18.02862114,,5,18.01906382,18.02862114,18.02862114,0.014361414,20.31690623,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],2.297437823,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
9,0,9,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],2.12586383,,0,9,0,20.34155268,,5,20.33167701,20.34155268,20.34155268,0.014643076,22.45811831,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],2.12586383,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
10,0,10,[-0.26],[0.32666666666666666],[1],[0],[0],2.575557832,,0,10,0,22.50054123,,10,22.48563342,22.50054123,22.50054123,0.027338419,25.0616588,[-0.26],[0.32666666666666666],[1],[0],[0],2.575557832,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
11,0,11,[0.43],[0.205],[1],[0],[0],1.585940103,,0,11,0,25.10456369,,10,25.08993115,25.10456369,25.10456369,0.02808089,26.67678068,[0.43],[0.205],[1],[0],[0],1.585940103,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
12,0,12,[-0.1],[0.09666666666666666],[1],[0],[0],2.183710228,,0,12,0,26.70248667,,5,26.69155528,26.70248667,26.70248667,0.014511199,28.87567125,[-0.1],[0.09666666666666666],[1],[0],[0],2.183710228,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
13,0,13,[-0.145],[0.22833333333333333],[1],[0],[0],1.452960148,,0,13,0,28.90181476,,5,28.89104617,28.90181476,28.90181476,0.015240473,30.34452152,[-0.145],[0.22833333333333333],[1],[0],[0],1.452960148,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
14,0,14,[-0.08166666666666667],[0.11666666666666667],[1],[0],[0],1.662494317,,0,14,0,30.39129144,,10,30.37542634,30.39129144,30.39129144,0.03074568,32.03845762,[-0.08166666666666667],[0.11666666666666667],[1],[0],[0],1.662494317,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
15,0,15,[-0.3616666666666667],[0.49166666666666664],[1],[0],[0],1.736227638,,0,15,0,32.08202989,,10,32.06704683,32.08202989,32.08202989,0.028395719,33.80368561,[-0.3616666666666667],[0.49166666666666664],[1],[0],[0],1.736227638,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
16,0,16,[-0.1],[0.415],[1],[0],[0],1.628239216,,0,16,0,33.84787504,,10,33.83280832,33.84787504,33.84787504,0.028939929,35.46143721,[-0.1],[0.415],[1],[0],[0],1.628239216,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
17,0,17,[0.1],[0.058333333333333334],[1],[0],[0],1.281118083,,0,17,0,35.50511014,,10,35.48959064,35.50511014,35.50511014,0.028012867,36.7711771,[0.1],[0.058333333333333334],[1],[0],[0],1.281118083,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
18,0,18,[-0.045],[0.3283333333333333],[1],[0],[0],1.178710135,,0,18,0,36.81466808,,10,36.79943191,36.81466808,36.81466808,0.028094756,37.97851467,[-0.045],[0.3283333333333333],[1],[0],[0],1.178710135,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
19,0,19,[0.215],[0.45],[1],[0],[0],6.927228875,,0,19,0,38.02284562,,10,38.00733715,38.02284562,38.02284562,0.028660932,44.93523886,[0.215],[0.45],[1],[0],[0],6.927228875,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
20,0,20,[0.2966666666666667],[-0.3433333333333333],[1],[0],[0],2.126021148,,0,20,0,44.97948566,,10,44.96446783,44.97948566,44.97948566,0.028953,47.09086659,[0.2966666666666667],[-0.3433333333333333],[1],[0],[0],2.126021148,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
21,0,21,[-0.016666666666666666],[-0.05333333333333334],[1],[0],[0],1.409887022,,0,21,0,47.11771606,,5,47.10631642,47.11771606,47.11771606,0.015295455,48.51659805,[-0.016666666666666666],[-0.05333333333333334],[1],[0],[0],1.409887022,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
22,0,22,[0.09833333333333333],[-0.15166666666666667],[1],[0],[0],1.518411333,,0,22,0,48.5419483,,5,48.53031921,48.5419483,48.5419483,0.013596053,50.04947347,[0.09833333333333333],[-0.15166666666666667],[1],[0],[0],1.518411333,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
23,0,23,[0.16666666666666666],[-0.075],[1],[0],[0],1.102193214,,0,23,0,50.09497585,,10,50.07969255,50.09497585,50.09497585,0.029833334,51.18252346,[0.16666666666666666],[-0.075],[1],[0],[0],1.102193214,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
24,0,24,[0.27],[-0.16],[1],[0],[0],1.647901844,,0,24,0,51.22529535,,10,51.20968862,51.22529535,51.22529535,0.026980935,52.85805255,[0.27],[-0.16],[1],[0],[0],1.647901844,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
25,0,25,[0.3283333333333333],[0.16833333333333333],[1],[0],[0],5.69300199,,0,25,0,52.90189885,,10,52.8861525,52.90189885,52.90189885,0.027977283,58.57970179,[0.3283333333333333],[0.16833333333333333],[1],[0],[0],5.69300199,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
26,0,26,[-0.32666666666666666],[0.058333333333333334],[1],[0],[0],1.794846574,,0,26,0,58.62235843,,10,58.60756166,58.62235843,58.62235843,0.027696817,60.40292839,[-0.32666666666666666],[0.058333333333333334],[1],[0],[0],1.794846574,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
27,0,27,[0.3983333333333333],[-0.155],[1],[0],[0],1.640423405,,0,27,0,60.44744457,,10,60.43163387,60.44744457,60.44744457,0.028507038,62.07252084,[0.3983333333333333],[-0.155],[1],[0],[0],1.640423405,1,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077774,2024-10-09 18h33.04.014668 +0530
