study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refrence,Primed_NonPrimed,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
t-shirt,0,0,0,1.015625,1.7946502,,,,,,,,,,,,0,0,0,7,,,,,0.0765543,,0.0471888,0.0765543,0.0765543,1.857183,1.015625,1.7946502,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
police,1,1,0,1.046875,1.9522135,,,,,,,,,,,,0,1,1,12,,,,,1.8867207,,1.8729012,1.8867207,1.8867207,3.8409091,1.046875,1.9522135,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
marble,2,2,0,1.046875,1.2104424,,,,,,,,,,,,0,2,2,3,,,,,3.8633654,,3.8480249,3.8633654,3.8633654,5.0751975,1.046875,1.2104424,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
pastry,3,3,0,4.875,1.9111021,,,,,,,,,,,,0,3,3,9,,,,,5.0959277,,5.0816755,5.0959277,5.0959277,7.0148596,4.875,1.9111021,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
mouse,4,4,0,4.875,1.5509135,,,,,,,,,,,,0,4,4,8,,,,,7.046326,,7.0240524,7.046326,7.046326,8.589752,4.875,1.5509135,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
cushion,5,5,0,4.994791667,1.7450235,,,,,,,,,,,,0,5,5,1,,,,,8.6090614,,8.5969299,8.6090614,8.6090614,10.3565508,4.994791667,1.7450235,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
laptop ,6,6,0,1.015625,1.6659068,,,,,,,,,,,,0,6,6,5,,,,,10.372136,,10.3590777,10.372136,10.372136,12.0408437,1.015625,1.6659068,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
keys,7,7,0,1.015625,0.881658,,,,,,,,,,,,0,7,7,13,,,,,12.0565321,,12.0432886,12.0565321,12.0565321,12.9399628,1.015625,0.881658,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
board,8,8,0,1.015625,0.8306894,,,,,,,,,,,,0,8,8,4,,,,,12.959063,,12.9470642,12.959063,12.959063,13.7983947,1.015625,0.8306894,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
case,9,9,0,1.015625,0.8168077,,,,,,,,,,,,0,9,9,10,,,,,13.8269131,,13.8078194,13.8269131,13.8269131,14.6407186,1.015625,0.8168077,,,,,,,,,,,,,,,28912,1,2024-11-07_18h18.00.565,Word Priming Experiment,2024.2.3,59.66601352,2024-11-07 18h18.10.118771 +0530
