key_resp_2.keys,correct_answer,key_resp_2.rt,,,
,,,,,
d,0,1.1171006,,,
s,0,0.3762425,,,
d,0,0.9305051,,,
s,0,0.6031853,,,
s,1,0.7344908,,mean,1.253848699
d,1,0.0110915,,stdev,1.461815885
s,1,0.081699,,,
d,1,0.939704,,,
s,1,0.3302684,,,
s,1,0.4265399,,,
s,0,0.3444893,,,
d,1,0.8849813,,,
s,1,5.1283137,,,
d,0,0.0827734,,,
s,1,1.2361931,,,
s,0,0.2794409,,,
d,0,0.8413358,,,
d,1,0.7242883,,,
s,0,1.6493457,,,
d,1,1.6436732,,,
s,0,0.0225087,,,
d,0,1.3785685,,,
s,1,0.8026751,,,
s,1,0.4152448,,,
d,1,4.102189,,,
s,0,0.8344408,,,
d,1,0.4372807,,,
s,1,1.3425639,,,
d,1,0.4474197,,,
s,0,0.486015,,,
d,1,0.5030522,,,
d,0,0.5928302,,,
s,1,0.7654454,,,
d,0,0.6419143,,,
s,0,1.0687601,,,
d,1,0.6187603,,,
s,1,0.5397865,,,
d,0,1.1275191,,,
s,0,0.834199,,,
s,0,0.768795,,,
d,0,5.574836,,,
s,1,0.9004087,,,
d,0,0.3790757,,,
s,0,0.6510043,,,
d,0,3.310642,,,
s,0,0.7015592,,,
d,0,0.7131306,,,
s,0,0.5916262,,,
d,0,2.7188158,,,
d,1,0.8074192,,,
s,0,0.9028048,,,
d,1,0.4772181,,,
s,1,0.6104346,,,
d,0,2.4229673,,,
s,1,1.2562486,,,
s,0,6.1111528,,,
s,1,0.1672537,,,
d,0,5.8497482,,,
s,1,0.0581273,,,
d,1,0.2091396,,,
s,1,0.7778614,,,
s,0,0.7314044,,,
s,0,0.5102005,,,
s,1,0.8707815,,,
s,0,0.3836265,,,
s,0,0.3465049,,,
d,0,0.6211015,,,
d,0,0.4620581,,,
d,1,0.1231016,,,
d,0,0.5221105,,,
d,1,0.5140501,,,
d,1,0.052363,,,
d,0,0.9185508,,,
s,0,0.627809,,,
d,1,0.6676877,,,
s,0,0.8609658,,,
d,1,0.6678085,,,
s,1,0.1654414,,,
d,1,0.1350157,,,
s,0,0.7154371,,,
d,1,1.0841641,,,
s,1,4.5690589,,,
s,1,1.9632548,,,
d,1,0.612074,,,
s,0,None,,,
d,0,4.0029108,,,
s,0,1.1003014,,,
d,1,0.4365702,,,
s,0,0.8297201,,,
d,1,0.2742274,,,
s,1,0.1175211,,,
d,0,0.8195432,,,
s,0,1.506966,,,
s,1,3.0352657,,,
d,1,4.096595,,,
d,1,4.0482211,,,
s,0,0.1165327,,,
s,0,5.4180453,,,
d,1,2.8015208,,,
s,1,4.1270445,,,
