key_resp_2.keys,correct_answer,key_resp_2.rt,,,
,,,,,
s,0,1.9482477,,,
d,0,0.379641,,,
s,0,0.668066,,,
d,1,0.475068,,mean,0.800414589
d,1,0.6764648,,stdev,0.711766202
s,1,0.3848403,,,
d,1,0.4925586,,,
s,0,1.1728347,,,
d,1,0.516292,,,
s,0,1.1043639,,,
d,1,0.5221809,,,
s,1,0.6803281,,,
d,0,0.679441,,,
s,0,0.6885914,,,
d,0,0.7921737,,,
s,0,1.1129995,,,
d,1,0.8684329,,,
d,1,0.6428392,,,
s,0,0.6109178,,,
d,0,2.1701691,,,
s,0,0.5958597,,,
d,1,0.0925804,,,
s,1,0.5752244,,,
s,1,0.7828549,,,
d,1,0.448195,,,
s,1,0.6309328,,,
d,1,0.6017127,,,
d,1,0.8352049,,,
d,0,2.2993827,,,
d,1,0.5230708,,,
d,1,0.9024672,,,
d,1,1.7698416,,,
d,1,0.4125409,,,
s,0,3.8969603,,,
s,0,2.3345933,,,
d,1,1.0697873,,,
s,0,0.0419028,,,
d,0,1.7145316,,,
s,0,0.6110099,,,
s,0,1.0790639,,,
d,1,0.8079988,,,
s,1,0.3066172,,,
d,1,0.4061648,,,
s,1,0.4332443,,,
d,0,0.4675518,,,
s,1,0.500945,,,
d,1,0.8297672,,,
s,0,0.7431312,,,
s,0,0.6714774,,,
d,0,0.7394271,,,
s,0,1.3245516,,,
d,1,1.9498461,,,
d,0,1.1572326,,,
s,0,1.179599,,,
d,1,0.5454373,,,
s,1,0.460362,,,
d,0,0.3106259,,,
s,1,0.4541675,,,
d,1,0.511956,,,
s,0,1.123641,,,
d,1,0.6931668,,,
d,0,0.7042539,,,
d,1,0.4089852,,,
s,0,0.4220887,,,
d,1,0.745679,,,
s,0,0.3898421,,,
d,1,1.7532346,,,
s,1,0.3097105,,,
d,0,0.4705883,,,
s,0,0.3798991,,,
d,1,0.817746,,,
d,0,0.5182923,,,
s,0,0.2627465,,,
d,1,4.5304017,,,
s,0,3.030253,,,
s,0,0.5524286,,,
s,1,0.4848877,,,
d,1,0.7158259,,,
d,0,0.3819946,,,
s,0,0.2831582,,,
d,1,0.4750436,,,
s,0,0.4212671,,,
d,0,0.4843471,,,
s,1,0.3490705,,,
d,1,0.5069261,,,
s,0,0.3430025,,,
d,0,0.2994292,,,
s,1,0.3789603,,,
d,1,0.2789918,,,
s,0,0.3749879,,,
d,0,0.4222637,,,
s,1,0.5915677,,,
s,1,0.5675958,,,
s,0,0.3994841,,,
s,1,0.3760514,,,
s,1,0.4238301,,,
d,0,0.731913,,,
s,0,0.5603947,,,
d,0,1.3929618,,,
s,1,0.6749872,,,
